,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日付,評価,名前,プロフィールURL,年代・性別,使い道,使う人,購入した回数,レビューのタイトル,レビューの本文
2018-02-23,5,"""シダレさん"" ",https://review.rakuten.co.jp/my/M2MxYzk1YzAzZmU0NDc_/1.0.0.1/,40代 女性,実用品・普段使い,自分用,リピート,満足,リンスと同時に購入。いつも使用しています。助かります
2018-02-20,5,"""sakura19703329さん"" ",https://review.rakuten.co.jp/my/NDZkMmViMWEyMWIxMjg_/1.0.0.1/,30代 女性,"
","
","
",発送が早い,注文して2日で届きました！しばらく日本から離れるので大容量を探しており、こちらのお店が一番安かったです！コス○コよりも安い。オススメです。
2018-02-08,5,"""mikomikoshinさん"" ",https://review.rakuten.co.jp/my/YTVjMWNiZDAzNWNkNDIxZg__/1.0.0.1/,30代 男性,"
","
","
","
",とても良い香りで大容量なので嬉しいです。
2018-02-04,5,"""M.A.⇔F.A.さん"" ",https://review.rakuten.co.jp/my/ZjljOTQ3YmQxOTNmMzgxMg__/1.0.0.1/,50代 女性,"
","
","
","
","まとめて買うと結構重いものは楽天で購入して配達していただけると助かります。　

商品としては今までに使い続けているものの超特大サイズですから満足しているものです。"
2018-02-04,5,"""ふ〜たんR5さん"" ",https://review.rakuten.co.jp/my/YWUzMjZjYzNiZDYzNzExMQ__/1.0.0.1/,30代 女性,実用品・普段使い,家族へ,リピート,"
","安定のパンテーン。　

最初の方は詰め替えるの大変ですが人数が多いと薬局で何個も買うのが大変なのでまとめ買いでかさばるよりか１個で多いのをいつも購入してます。"
2018-02-03,4,"ゲストさん"" ","
","
","
","
","
","
",超特大で、なんども詰め替え可能。うっかり切らしてしまうことがないし、家まで配達してもらえてありがたい。
2018-01-26,4,"""めく0578さん"" ",https://review.rakuten.co.jp/my/N2RlM2Q3NGQ2ZjI1N2YxYg__/1.0.0.1/,40代 女性,実用品・普段使い,自分用,はじめて,お得&amp;#8252;,二種のシャンプーの一つがこちらで。(笑)シャンプーがなくなったのでお得にまとめ買いです。
2018-01-26,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,お値打ちに買えました,我が家で使っているパンテーンシャンプーが少なくなりましたので探していたのでポイントアップでお値打ちに買えました
2018-01-25,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,香りが,大好きで、愛用しています！消耗品なので、いくつあっても困りません！
2018-01-25,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,大きい！,毎日使うのでこの大きさは有り難いです！(*^^*)
2018-01-24,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,自分に,重いのでネット購入してみました。ポイントもつくし、良かったと思います。
2018-01-22,4,"ゲストさん"" ","
","
","
","
","
","
","キャップが付いているので、しばらく保管しても大丈夫。　

毎日家族で使うものなので、大きいサイズだと便利かなって思います。"
2018-01-18,5,"ゲストさん"" ","
","
","
","
","
","
",しっとりと洗い上がるのでこちらをリピしています。お得な詰め替え用があったので購入しました。
2018-01-15,5,"""つー。3549さん"" ",https://review.rakuten.co.jp/my/N2FmNzVlMTlkNzZiODIxNQ__/1.0.0.1/,20代 男性,"
","
","
",お得,超特大サイズなので、頻繁に買う手間を省けて良いと思います。
2018-01-09,5,"""スプーンkさん"" ",https://review.rakuten.co.jp/my/ZTVmOWFiYmY0ZTc4NDgxOA__/1.0.0.1/,40代 女性,実用品・普段使い,自分用,リピート,"
",ずーっとパンテーンのシャンプーを使用していたので大容量でこの値段は大満足です。
2018-01-06,4,"""よ6524さん"" ",https://review.rakuten.co.jp/my/YmJjMmVkNmRhYjUzNGYxZA__/1.0.0.1/,40代 女性,実用品・普段使い,家族へ,はじめて,いつも使ってます,子供も使うのですぐなくなります。注文したらすぐ届きますので、重宝しています。
2017-12-29,5,"""チャミ14さん"" ",https://review.rakuten.co.jp/my/YjFkOWVkZjQ4MjQ1M2MxZA__/1.0.0.1/,50代 男性,実用品・普段使い,自分用,はじめて,良い,"大容量の物が、店先では売っていなくて、助かります。　

又無くなりしだい注文したいと思います。"
2017-12-25,5,"ゲストさん"" ","
","
","
","
","
",美容院で買うシャンプーと似てる,値段の割にいい仕事してくれます！多分ずっと買う！
2017-12-22,5,"""アダムとイブ36さん"" ",https://review.rakuten.co.jp/my/N2FjZWJhOWQ2ZjExMmIxNQ__/1.0.0.1/,40代 女性,実用品・普段使い,家族へ,リピート,お値打ち,"このサイズはドラックストアに置いてないので　

助かります。　

パンテーン家族が好きなので満足です。"
2017-12-17,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,お得だと思います。,いつもは２回分の詰め替えを買っていたのですが、こちらの方がお得なので購入しました。
2017-12-13,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,まとめ買い,コンディショナーとシャンプー、ファンデーションをまとめ買いしました。まだ届いてないですが、前に購入して良かったので。
2017-12-06,4,"""シダレさん"" ",https://review.rakuten.co.jp/my/M2MxYzk1YzAzZmU0NDc_/1.0.0.1/,40代 女性,実用品・普段使い,自分用,リピート,お得,何回も購入してリピーターです。近くの家族にもお得なので使ってもらっています
2017-12-06,4,"""シダレさん"" ",https://review.rakuten.co.jp/my/M2MxYzk1YzAzZmU0NDc_/1.0.0.1/,40代 女性,実用品・普段使い,家族へ,リピート,お得,残りを気にせず、長く使い続けることができます
2017-11-29,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,リピーター,"家族全員で使ってます。　

たくさん入ってるのでお得です！"
2017-11-26,4,"""かりゆしママさん"" ",https://review.rakuten.co.jp/my/NDI4M2RiZGY1ODAyMmUxNQ__/1.0.0.1/,30代 女性,実用品・普段使い,家族へ,はじめて,大容量！,"これだけ大容量だと買う手間が何度もかからずに助かります。　

初めて買ったので、期間がどれくらいもつか測ってみたいと思います。配送も早かったです。"
2017-11-16,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,パンテーン シャンプー詰め替え,このサイズは市場にはなかなか売ってないので、楽天で購入出来て助かりました。
2017-11-10,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,安く,安く買えました&amp;#10071;この量だと宅配便が楽かと思います
2017-11-09,5,"ゲストさん"" ","
","
","
","
","
","
",この容量はドラッグストアでも見かけないので助かりました
